grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
158,21.5,92.5,29.643735463276435,25.901743021991884,31.577764487798,1510.5477610657206,410.527469638537,3586.9042565429804,0.0,1.0,1.0
159,21.5,93.5,29.32330217599729,25.745531097090065,31.21116331400596,1427.6558151007616,394.420266852436,3042.5750438266846,0.0,1.0,1.0
160,21.5,94.5,29.102076428184343,25.66364207002549,30.9828924988374,1363.1441707421266,381.7065945349739,2691.9948392551346,0.0,1.0,1.0
161,21.5,95.5,28.94569885731877,25.578397184623007,30.99898071847685,1299.867910034386,370.7000241497211,2275.977515287625,0.0,1.0,1.0
162,21.5,96.5,28.867629390401028,25.52323795703492,31.058800807065715,1245.6022902528496,362.005680570894,1941.3046896660808,0.0,1.0,1.0
163,21.5,97.5,28.85019958954929,25.498093871699123,31.182437373863472,1205.0630018088923,356.0766465246592,1752.9066453259004,0.0,1.0,1.0
164,21.5,98.5,28.85578185550774,25.48750050991752,31.341427477678003,1175.5110549143717,352.5591086823253,1473.9360845097608,0.0,1.0,1.0
165,21.5,99.5,28.873574576796933,25.456543049913165,31.46215378385516,1183.8895356186167,354.16175695891275,1464.4110908892171,0.0,1.0,1.0
166,22.5,70.5,33.01361,30.623535,35.592743,1644.996516,838.2176286000001,5601.108816,0.0,1.0,0.0
167,22.5,71.5,33.628555,31.076946,37.114147,1081.8714414,383.4347028,4283.4963720000005,0.0,1.0,0.0
171,22.5,75.5,31.751427,28.91142,35.702297,1457.4825465,468.0590817,3496.379151,0.0,1.0,1.0
172,22.5,76.5,31.920414,28.886692,35.613403,1569.7688577,482.72771205,3506.090961,0.0,1.0,1.0
173,22.5,77.5,30.994213,27.987326,34.665558,1700.014734,429.0603177,4439.469102,0.0,1.0,1.0
174,22.5,78.5,30.892595,28.091705,34.42321,1172.3572737,291.5706975,4094.875161,0.0,1.0,1.0
175,22.5,79.5,30.84125,28.040575,34.107243,1120.818636,361.64748225,5948.823273000001,0.0,1.0,1.0
176,22.5,80.5,31.322117,28.27612,34.639816,1386.6008088,387.6687738,7334.801772,0.0,1.0,1.0
180,22.5,84.5,31.71159,28.68529,34.7887,1545.504906,512.4,4815.985746,0.0,1.0,1.0
181,22.5,85.5,32.307518,28.948406,35.00971,1555.5222345000002,649.55726475,4858.9663155,0.0,1.0,1.0
